ANO,CO_MES,CO_PRDT,CO_GEO2,CO_GEO3,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
39,03,3105,091,999,82.48614501953125,145.78694888985672,193.8442911783854,a4ede1db-97f6-432e-8bb4-4eabcd658935,1.0,1.0,1.0
39,09,3105,091,999,206.30740356445312,229.60574946046938,254.57344055175776,a4ede1db-97f6-432e-8bb4-4eabcd658935,1.0,1.0,1.0
40,03,3105,091,999,156.99285888671875,146.0277196788788,166.5607716878255,a4ede1db-97f6-432e-8bb4-4eabcd658935,1.0,1.0,1.0
40,09,3105,091,999,209.21981811523438,241.2274351630272,204.5574371337891,a4ede1db-97f6-432e-8bb4-4eabcd658935,1.0,1.0,1.0
41,03,3105,091,999,,147.6000385658264,127.96633504231772,a4ede1db-97f6-432e-8bb4-4eabcd658935,,1.0,1.0
41,09,3105,091,999,,248.90317540065033,181.44144897460944,a4ede1db-97f6-432e-8bb4-4eabcd658935,,1.0,1.0
